time_s,left_target_force_x_n,left_target_force_y_n,left_target_force_z_n,left_actual_force_x_n,left_actual_force_y_n,left_actual_force_z_n,right_target_force_x_n,right_target_force_y_n,right_target_force_z_n,right_actual_force_x_n,right_actual_force_y_n,right_actual_force_z_n
0.02,0.0,0.0,-0.24525000154972076,0.0,0.0,-6.112473964691162,0.0,0.0,-0.24525000154972076,0.0,0.0,-5.023180961608887
0.04,0.0,0.0,-0.24525000154972076,0.0,0.0,-12.525834083557129,0.0,0.0,-0.24525000154972076,0.0,0.0,-12.781818389892578
0.06,0.0,0.0,-0.24525000154972076,0.0,0.0,-18.484506607055664,0.0,0.0,-0.24525000154972076,0.0,0.0,-20.0
0.08,0.0,0.0,-0.24525000154972076,0.0,0.0,-18.228424072265625,0.0,0.0,-0.24525000154972076,0.0,0.0,-19.96959114074707
0.1,0.0,0.0,-0.24525000154972076,0.0,0.0,-10.7295560836792,0.0,0.0,-0.24525000154972076,0.0,0.0,-10.58756160736084
0.12,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.06157732009887695,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.3359642028808594
0.14,0.0,0.0,-0.24525000154972076,0.0,0.0,10.630844116210938,0.0,0.0,-0.24525000154972076,0.0,0.0,8.061095237731934
0.16,0.0,0.0,-0.24525000154972076,0.0,0.0,16.415878295898438,0.0,0.0,-0.24525000154972076,0.0,0.0,11.662697792053223
0.18,0.0,0.0,-0.24525000154972076,0.0,0.0,15.36827278137207,0.0,0.0,-0.24525000154972076,0.0,0.0,10.150106430053711
0.2,0.0,0.0,-0.24525000154972076,0.0,0.0,10.734823226928711,0.0,0.0,-0.24525000154972076,0.0,0.0,6.241244316101074
0.22,0.0,0.0,-0.24525000154972076,0.0,0.0,5.99360466003418,0.0,0.0,-0.24525000154972076,0.0,0.0,2.286961317062378
0.24,0.0,0.0,-0.24525000154972076,0.0,0.0,2.2381832599639893,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.094507098197937
0.26,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5283634066581726,0.0,0.0,-0.24525000154972076,0.0,0.0,-3.61765456199646
0.28,0.0,0.0,-0.24525000154972076,0.0,0.0,1.5119924545288086,0.0,0.0,-0.24525000154972076,0.0,0.0,-5.576538562774658
0.3,0.0,0.0,-0.24525000154972076,0.0,0.0,2.1627466678619385,0.0,0.0,-0.24525000154972076,0.0,0.0,-6.233036041259766
0.32,0.0,0.0,-0.24525000154972076,0.0,0.0,1.3864060640335083,0.0,0.0,-0.24525000154972076,0.0,0.0,-5.489377021789551
0.34,0.0,0.0,-0.24525000154972076,0.0,0.0,0.06528523564338684,0.0,0.0,-0.24525000154972076,0.0,0.0,-3.893815040588379
0.36,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.0317095518112183,0.0,0.0,-0.24525000154972076,0.0,0.0,-2.0789270401000977
0.38,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.3154757022857666,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.158166527748108
0.4,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.8793998956680298,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.8640400767326355
0.42,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.24208420515060425,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.5312628149986267
0.44,0.0,0.0,-0.24525000154972076,0.0,0.0,0.23410272598266602,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2338152825832367
0.46,0.0,0.0,-0.24525000154972076,0.0,0.0,0.37049400806427,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.17791080474853516
0.48,0.0,0.0,-0.24525000154972076,0.0,0.0,0.24183133244514465,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.13860736787319183
0.5,0.0,0.0,-0.24525000154972076,0.0,0.0,0.14529481530189514,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1056201308965683
0.52,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1812817007303238,0.0,0.0,-0.24525000154972076,0.0,0.0,0.4306372404098511
0.54,0.0,0.0,-0.24525000154972076,0.0,0.0,0.16138780117034912,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6781929135322571
0.56,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1116718128323555,0.0,0.0,-0.24525000154972076,0.0,0.0,0.8314695954322815
0.58,0.0,0.0,-0.24525000154972076,0.0,0.0,0.246114581823349,0.0,0.0,-0.24525000154972076,0.0,0.0,0.9055284261703491
0.6,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6228002905845642,0.0,0.0,-0.24525000154972076,0.0,0.0,0.8315097093582153
0.62,0.0,0.0,-0.24525000154972076,0.0,0.0,1.7210217714309692,0.0,0.0,-0.24525000154972076,0.0,0.0,0.9577658176422119
0.64,0.0,0.0,-0.24525000154972076,0.0,0.0,3.7379202842712402,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6210665702819824
0.66,0.0,0.0,-0.24525000154972076,0.0,0.0,5.77313232421875,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.31925734877586365
0.68,0.0,0.0,-0.24525000154972076,0.0,0.0,6.9317827224731445,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.6450421810150146
0.7000000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,7.328510284423828,0.0,0.0,-0.24525000154972076,0.0,0.0,-3.0079269409179688
0.72,0.0,0.0,-0.24525000154972076,0.0,0.0,7.2061967849731445,0.0,0.0,-0.24525000154972076,0.0,0.0,-3.835968494415283
0.74,0.0,0.0,-0.24525000154972076,0.0,0.0,6.779250144958496,0.0,0.0,-0.24525000154972076,0.0,0.0,-3.8422389030456543
0.76,0.0,0.0,-0.24525000154972076,0.0,0.0,6.036541938781738,0.0,0.0,-0.24525000154972076,0.0,0.0,-3.400722026824951
0.78,0.0,0.0,-0.24525000154972076,0.0,0.0,4.461703300476074,0.0,0.0,-0.24525000154972076,0.0,0.0,-2.874338150024414
0.8,0.0,0.0,-0.24525000154972076,0.0,0.0,2.733844041824341,0.0,0.0,-0.24525000154972076,0.0,0.0,-2.5724353790283203
0.8200000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,1.254394292831421,0.0,0.0,-0.24525000154972076,0.0,0.0,-2.0381760597229004
0.84,0.0,0.0,-0.24525000154972076,0.0,0.0,0.222230464220047,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.4502477645874023
0.86,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.25525736808776855,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.2469137907028198
0.88,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.5729973316192627,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.411081075668335
0.9,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.9158236384391785,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.6996619701385498
0.92,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.1473114490509033,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.8256452083587646
0.9400000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.1768499612808228,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.7484169006347656
0.96,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.9819806814193726,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.5660775899887085
0.98,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.6435381770133972,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.2707138061523438
1.0,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.25493448972702026,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.9160771369934082
1.02,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1709500104188919,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.6313111186027527
1.04,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6854738593101501,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.4221121668815613
1.06,0.0,0.0,-0.24525000154972076,0.0,0.0,1.364708423614502,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.264356791973114
1.08,0.0,0.0,-0.24525000154972076,0.0,0.0,2.2223856449127197,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1428605616092682
1.1,0.0,0.0,-0.24525000154972076,0.0,0.0,3.1914589405059814,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1254918873310089
1.12,0.0,0.0,-0.24525000154972076,0.0,0.0,4.242202281951904,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2404189258813858
1.1400000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,5.497250556945801,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.23982173204421997
