step,time_s,left_pos_error_m,right_pos_error_m,mean_pos_error_m,mean_rot_error_deg,mean_lin_vel_error_mps,mean_ang_vel_error_radps,mean_virtual_force_error_n,mean_force_estimator_error_n,left_target_position_x_m,left_target_position_y_m,left_target_position_z_m,left_actual_position_x_m,left_actual_position_y_m,left_actual_position_z_m,left_target_quaternion_w,left_target_quaternion_x,left_target_quaternion_y,left_target_quaternion_z,left_actual_quaternion_w,left_actual_quaternion_x,left_actual_quaternion_y,left_actual_quaternion_z,left_target_linear_velocity_x_mps,left_target_linear_velocity_y_mps,left_target_linear_velocity_z_mps,left_actual_linear_velocity_x_mps,left_actual_linear_velocity_y_mps,left_actual_linear_velocity_z_mps,left_target_angular_velocity_x_radps,left_target_angular_velocity_y_radps,left_target_angular_velocity_z_radps,left_actual_angular_velocity_x_radps,left_actual_angular_velocity_y_radps,left_actual_angular_velocity_z_radps,left_target_force_x_n,left_target_force_y_n,left_target_force_z_n,left_actual_force_x_n,left_actual_force_y_n,left_actual_force_z_n,left_estimated_force_x_n,left_estimated_force_y_n,left_estimated_force_z_n,left_target_csv_hand_on_payload_force_x_n,left_target_csv_hand_on_payload_force_y_n,left_target_csv_hand_on_payload_force_z_n,left_target_moment_x_nm,left_target_moment_y_nm,left_target_moment_z_nm,right_target_position_x_m,right_target_position_y_m,right_target_position_z_m,right_actual_position_x_m,right_actual_position_y_m,right_actual_position_z_m,right_target_quaternion_w,right_target_quaternion_x,right_target_quaternion_y,right_target_quaternion_z,right_actual_quaternion_w,right_actual_quaternion_x,right_actual_quaternion_y,right_actual_quaternion_z,right_target_linear_velocity_x_mps,right_target_linear_velocity_y_mps,right_target_linear_velocity_z_mps,right_actual_linear_velocity_x_mps,right_actual_linear_velocity_y_mps,right_actual_linear_velocity_z_mps,right_target_angular_velocity_x_radps,right_target_angular_velocity_y_radps,right_target_angular_velocity_z_radps,right_actual_angular_velocity_x_radps,right_actual_angular_velocity_y_radps,right_actual_angular_velocity_z_radps,right_target_force_x_n,right_target_force_y_n,right_target_force_z_n,right_actual_force_x_n,right_actual_force_y_n,right_actual_force_z_n,right_estimated_force_x_n,right_estimated_force_y_n,right_estimated_force_z_n,right_target_csv_hand_on_payload_force_x_n,right_target_csv_hand_on_payload_force_y_n,right_target_csv_hand_on_payload_force_z_n,right_target_moment_x_nm,right_target_moment_y_nm,right_target_moment_z_nm
0,0.02,0.01134768221527338,0.01229086797684431,0.011819275096058846,9.192683219909668,0.593835711479187,5.724126815795898,4.895206928253174,0.6835720539093018,0.4080873131752014,0.21185705065727234,0.9192401170730591,0.3992231786251068,0.2088664025068283,0.9256629943847656,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9668219089508057,-0.2527795135974884,0.006456073373556137,0.03627941012382507,0.30000001192092896,1.3967443202034246e-08,0.0,-0.07874533534049988,-0.072597436606884,0.3921169936656952,0.0,0.0,0.0,5.04246187210083,-2.86104416847229,-0.45534253120422363,0.0,0.0,-0.24525000154972076,0.0,0.0,-5.497069835662842,-0.12267103791236877,0.05569113790988922,-5.731482982635498,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.4080859422683716,-0.2118527740240097,0.9192285537719727,0.3983680009841919,-0.20681579411029816,0.92481929063797,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9672101736068726,0.25099119544029236,0.01024435181170702,-0.037455763667821884,0.30000001192092896,1.3967443202034246e-08,0.0,-0.16859596967697144,0.2802208662033081,0.3294677436351776,0.0,0.0,0.0,-5.0795111656188965,-2.341291904449463,0.667483389377594,0.0,0.0,-0.24525000154972076,0.0,0.0,-4.783844470977783,-0.04889129102230072,-0.0614602230489254,-3.6898839473724365,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
1,0.04,0.020457103848457336,0.025783352553844452,0.023120228201150894,12.612608909606934,0.6370419263839722,3.133330821990967,11.256120681762695,0.5282610058784485,0.41408729553222656,0.21185705065727234,0.9192401170730591,0.4005962014198303,0.20668868720531464,0.9337236285209656,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9723002314567566,-0.23110638558864594,-0.018834471702575684,0.02944990247488022,0.30000001192092896,1.3967443202034246e-08,0.0,0.13880608975887299,-0.21940456330776215,0.42016440629959106,0.0,0.0,0.0,1.595220923423767,-2.2227039337158203,-0.2905319929122925,0.0,0.0,-0.24525000154972076,0.0,0.0,-11.11448860168457,-0.09892089664936066,0.10502716898918152,-11.029366493225098,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.41408592462539673,-0.2118527740240097,0.9192285537719727,0.39656615257263184,-0.20079615712165833,0.934577465057373,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9726056456565857,0.23111042380332947,-0.01304728351533413,-0.02135390229523182,0.30000001192092896,1.3967443202034246e-08,0.0,-0.023132173344492912,0.3131452202796936,0.629055380821228,0.0,0.0,0.0,-1.6330076456069946,-2.857527017593384,1.2352018356323242,0.0,0.0,-0.24525000154972076,0.0,0.0,-11.888251304626465,-0.03439578041434288,-0.07199539244174957,-11.00283432006836,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
2,0.06,0.031471215188503265,0.037168219685554504,0.034319717437028885,15.378937721252441,0.5658454895019531,2.281120777130127,18.250585556030273,1.3186414241790771,0.4200873076915741,0.21185705065727234,0.9192401170730591,0.4034614562988281,0.19899506866931915,0.9426620602607727,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.973823070526123,-0.22318829596042633,-0.037434935569763184,0.021313617005944252,0.30000001192092896,1.3967443202034246e-08,0.0,0.12340503931045532,-0.5087304711341858,0.43104201555252075,0.0,0.0,0.0,0.32220667600631714,-1.8724627494812012,-0.5043803453445435,0.0,0.0,-0.24525000154972076,0.0,0.0,-17.723251342773438,-0.10560370981693268,0.27918094396591187,-16.265398025512695,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.42008593678474426,-0.2118527740240097,0.9192285537719727,0.3983015716075897,-0.1959688812494278,0.9448140859603882,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9776836037635803,0.20797787606716156,-0.029046064242720604,-0.006016687955707312,0.30000001192092896,1.3967443202034246e-08,0.0,0.1336921900510788,0.16098962724208832,0.3764488697052002,0.0,0.0,0.0,-2.377455472946167,-0.7242206335067749,0.7515090703964233,0.0,0.0,-0.24525000154972076,0.0,0.0,-19.268421173095703,-0.29386305809020996,0.35649940371513367,-18.21619415283203,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
3,0.08,0.04124492034316063,0.03961232304573059,0.04042862355709076,16.846492767333984,0.48089879751205444,2.144443988800049,18.58898162841797,0.5482087135314941,0.42608729004859924,0.21185705065727234,0.9192401170730591,0.4060368239879608,0.1869484931230545,0.9452917575836182,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9734862446784973,-0.22360028326511383,-0.046078890562057495,0.014291243627667427,0.30000001192092896,1.3967443202034246e-08,0.0,0.12349045276641846,-0.6163979172706604,-0.09872651845216751,0.0,0.0,0.0,-0.5015753507614136,-0.33110764622688293,-0.33517035841941833,0.0,0.0,-0.24525000154972076,0.0,0.0,-18.8740234375,-0.09532501548528671,0.155598446726799,-18.506826400756836,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.4260859191417694,-0.2118527740240097,0.9192285537719727,0.40106695890426636,-0.19628119468688965,0.9456995725631714,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9831153154373169,0.18183133006095886,-0.018664134666323662,-0.008561674505472183,0.30000001192092896,1.3967443202034246e-08,0.0,0.10361189395189285,-0.13615873456001282,-0.20224900543689728,0.0,0.0,0.0,-2.780778169631958,2.2376303672790527,-0.4749768376350403,0.0,0.0,-0.24525000154972076,0.0,0.0,-18.79444122314453,-0.27538663148880005,0.26555317640304565,-18.224559783935547,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
4,0.1,0.047129373997449875,0.03617626056075096,0.04165281727910042,14.46392822265625,0.8189398050308228,4.252038955688477,11.453079223632812,2.635713577270508,0.4320873022079468,0.21185705065727234,0.9192401170730591,0.4081176519393921,0.1759977489709854,0.9382333755493164,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9669851064682007,-0.25061479210853577,-0.042755790054798126,0.01743675395846367,0.30000001192092896,1.3967443202034246e-08,0.0,0.07511764764785767,-0.47839871048927307,-0.4816935956478119,0.0,0.0,0.0,-3.685624122619629,0.699478805065155,0.5399827361106873,0.0,0.0,-0.24525000154972076,0.0,0.0,-12.5233793258667,-0.09937658905982971,-0.1797863245010376,-17.352611541748047,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.43208593130111694,-0.2118527740240097,0.9192285537719727,0.40108317136764526,-0.20473036170005798,0.9364571571350098,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9813784956932068,0.1895982027053833,0.01426842249929905,-0.027295777574181557,0.30000001192092896,1.3967443202034246e-08,0.0,-0.06591348350048065,-0.6119296550750732,-0.5857003927230835,0.0,0.0,0.0,1.954741358757019,3.8447914123535156,-1.902204990386963,0.0,0.0,-0.24525000154972076,0.0,0.0,-10.87327766418457,-0.09618934988975525,0.2776900827884674,-10.548733711242676,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
5,0.12,0.05245369300246239,0.041524264961481094,0.04698897898197174,9.465365409851074,0.9840139150619507,5.558098793029785,1.963927984237671,0.9404052495956421,0.4380872845649719,0.21185705065727234,0.9192401170730591,0.40957844257354736,0.16817064583301544,0.924729585647583,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9546738862991333,-0.2940881848335266,-0.031120868399739265,0.03378353267908096,0.30000001192092896,1.3967443202034246e-08,0.0,0.06730076670646667,-0.34390679001808167,-0.7792689800262451,0.0,0.0,0.0,-4.663187026977539,1.9249058961868286,1.38331139087677,0.0,0.0,-0.24525000154972076,0.0,0.0,-2.058626174926758,0.10123176127672195,-0.04091683775186539,-2.614513635635376,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.4380859136581421,-0.2118527740240097,0.9192285537719727,0.39765119552612305,-0.21953144669532776,0.9247363209724426,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9697585701942444,0.23419520258903503,0.04397892206907272,-0.05279085412621498,0.30000001192092896,1.3967443202034246e-08,0.0,-0.21834635734558105,-0.7693661451339722,-0.5627506375312805,0.0,0.0,0.0,4.864016056060791,2.657315969467163,-1.978564739227295,0.0,0.0,-0.24525000154972076,0.0,0.0,-2.359729766845703,-0.07490500062704086,0.11381623148918152,-1.0525102615356445,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
6,0.14,0.059663280844688416,0.05628415569663048,0.057973720133304596,7.307690143585205,0.9049971103668213,2.991180419921875,7.045612335205078,0.6206476092338562,0.44408729672431946,0.21185705065727234,0.9192401170730591,0.41090142726898193,0.16323448717594147,0.9095319509506226,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9432840347290039,-0.32736310362815857,-0.02070903219282627,0.05118398368358612,0.30000001192092896,1.3967443202034246e-08,0.0,0.06578180938959122,-0.1695062518119812,-0.7520171999931335,0.0,0.0,0.0,-2.9336469173431396,1.282099962234497,1.3778165578842163,0.0,0.0,-0.24525000154972076,0.0,0.0,8.850192070007324,-0.0019172937609255314,0.18683575093746185,9.2858247756958,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.4440859258174896,-0.2118527740240097,0.9192285537719727,0.39269739389419556,-0.23430033028125763,0.9144084453582764,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9611883163452148,0.2598482370376587,0.060986220836639404,-0.06983392685651779,0.30000001192092896,1.3967443202034246e-08,0.0,-0.265626460313797,-0.6887984275817871,-0.4628933370113373,0.0,0.0,0.0,1.6958975791931152,1.559653639793396,-0.962245523929596,0.0,0.0,-0.24525000154972076,0.0,0.0,4.750532627105713,0.10557594150304794,0.07624593377113342,5.506683349609375,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
7,0.16,0.06666234135627747,0.07289093732833862,0.06977663934230804,8.996761322021484,0.6664295196533203,2.273697853088379,12.348527908325195,0.8542782068252563,0.450087308883667,0.21185705065727234,0.9192401170730591,0.41141316294670105,0.16128504276275635,0.8994752168655396,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9406214952468872,-0.3325868546962738,-0.024170761927962303,0.06350652873516083,0.30000001192092896,1.3967443202034246e-08,0.0,-0.015475302934646606,-0.06523175537586212,-0.3454415798187256,0.0,0.0,0.0,-0.0418819785118103,-0.6812520623207092,1.2893548011779785,0.0,0.0,-0.24525000154972076,0.0,0.0,15.235784530639648,-0.07505450397729874,0.22904673218727112,16.466581344604492,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.45008593797683716,-0.2118527740240097,0.9192285537719727,0.38755640387535095,-0.24750743806362152,0.9077442288398743,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9651573896408081,0.23986627161502838,0.0659608542919159,-0.08114464581012726,0.30000001192092896,1.3967443202034246e-08,0.0,-0.24935105443000793,-0.6187129616737366,-0.2364150434732437,0.0,0.0,0.0,-2.9982452392578125,0.4191869795322418,-0.6114032864570618,0.0,0.0,-0.24525000154972076,0.0,0.0,8.970771789550781,0.1487463265657425,-0.027491169050335884,8.54230785369873,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
8,0.18,0.07203393429517746,0.08781877160072327,0.07992635667324066,12.60841178894043,0.5545287132263184,4.012553691864014,12.852846145629883,1.2715398073196411,0.45608729124069214,0.21185705065727234,0.9192401170730591,0.41033944487571716,0.16057656705379486,0.8976452946662903,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9435688853263855,-0.320872962474823,-0.044084582477808,0.06909974664449692,0.30000001192092896,1.3967443202034246e-08,0.0,-0.08116254210472107,-0.0076323002576828,0.04719571769237518,0.0,0.0,0.0,1.413797378540039,-2.179828643798828,1.354722261428833,0.0,0.0,-0.24525000154972076,0.0,0.0,15.390049934387207,-0.137247696518898,0.2949760854244232,15.601985931396484,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.4560859203338623,-0.2118527740240097,0.9192285537719727,0.38312751054763794,-0.25881293416023254,0.9056657552719116,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9754133820533752,0.19367094337940216,0.05935434624552727,-0.08681770414113998,0.30000001192092896,1.3967443202034246e-08,0.0,-0.20819462835788727,-0.5161460041999817,-0.028696302324533463,0.0,0.0,0.0,-5.071623802185059,-0.4823222756385803,-0.06812101602554321,0.0,0.0,-0.24525000154972076,0.0,0.0,9.825142860412598,0.1900807023048401,-0.03366205841302872,7.679011344909668,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
9,0.2,0.07599882781505585,0.10113580524921417,0.08856731653213501,15.838136672973633,0.5507088899612427,2.994394063949585,10.639156341552734,1.8127338886260986,0.4620873034000397,0.21185705065727234,0.9192401170730591,0.409635454416275,0.15994654595851898,0.9010763168334961,0.9439449906349182,-0.3256075084209442,0.02736498787999153,0.04689135402441025,0.9461636543273926,-0.307487428188324,-0.06906440109014511,0.07386521995067596,0.30000001192092896,1.3967443202034246e-08,0.0,-0.002785736694931984,-0.0358339287340641,0.25741884112358093,0.0,0.0,0.0,1.4295469522476196,-2.203226327896118,1.2969450950622559,0.0,0.0,-0.24525000154972076,0.0,0.0,12.376049995422363,-0.16084794700145721,0.4511553645133972,11.363529205322266,0.0,0.0,0.24525000154972076,0.0,0.0,0.0,0.46208593249320984,-0.2118527740240097,0.9192285537719727,0.3798591196537018,-0.2694474756717682,0.9069788455963135,0.9439524412155151,0.32558491826057434,0.027354031801223755,-0.046905919909477234,0.9818212389945984,0.16154631972312927,0.04661443457007408,-0.08807434886693954,0.30000001192092896,1.3967443202034246e-08,0.0,-0.1363711655139923,-0.5424392819404602,0.09318557381629944,0.0,0.0,0.0,-2.8706400394439697,-1.049574613571167,-0.13873299956321716,0.0,0.0,-0.24525000154972076,0.0,0.0,8.411764144897461,0.11803863942623138,0.07875410467386246,5.910412788391113,0.0,0.0,0.24525000154972076,0.0,0.0,0.0
