clip,experiment,func,group,noise,run,scale,term
null,coopG1S0,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,base_ang_vel
null,coopG1S0,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,projected_gravity
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,velocity_commands
null,coopG1S0,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,joint_pos
null,coopG1S0,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,joint_vel
null,coopG1S0,isaaclab.envs.mdp.observations:last_action,policy,null,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,actions
null,coopG1S0,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,base_lin_vel
null,coopG1S0,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,base_ang_vel
null,coopG1S0,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,projected_gravity
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,null,velocity_commands
