actor_class,actor_hidden_dims,actual_last_iteration,arm_pose_weight,checkpoint_bytes,checkpoint_count,command_ang_vel_z,command_lin_vel_x,command_lin_vel_y,critic_hidden_dims,event_files,experiment,feet_air_time_weight,final_Episode_Reward__gait,final_Episode_Reward__hand_payload_pose,final_Episode_Reward__track_lin_vel_xy,final_Episode_Reward__track_lin_vel_xy_fine,final_Loss__learning_rate,final_Metrics__base_velocity__error_vel_xy,final_Metrics__base_velocity__error_vel_yaw,final_Policy__mean_noise_std,final_Train__mean_episode_length,final_Train__mean_reward,gait_weight,hand_pose_weight,has_agent_yaml,has_env_yaml,latest_checkpoint_path,latest_checkpoint_step,load_checkpoint,load_run,max_iterations_cfg,num_envs,pelvis_ang_vel_weight,policy_has_base_ang_vel,policy_has_base_lin_vel,policy_history_length,policy_terms,resume,run,run_path,seed,torso_ang_vel_weight,track_vel_fine_std,track_vel_fine_weight,track_vel_std,track_vel_weight,upright_pelvis_weight,upright_torso_weight
ActorCritic,"[512, 256, 128]",127928,,20051982,2,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S0,,,,1.9925086498260498,,9.999999747378752e-06,0.052661459892988205,0.14519253373146057,0.104485884308815,1000.0,105.9555892944336,,,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui/model_42600.pt,42600,model_.*.pt,.*,50000,4096,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,False,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,42,0.2,,,0.5,2.0,,0.25
ActorCritic,"[512, 256, 128]",47599,,260675766,26,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S0,,,,1.9800455570220947,,2.2500000341096893e-05,0.08521747589111328,0.2119653820991516,0.1768866628408432,1000.0,137.96014404296875,,,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_47599.pt,47599,model_42600.pt,2026-05-15_21-59-12_coopG1S0_hist5_steadyreward_50k_gui,5000,16384,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,True,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,42,0.2,,,0.5,2.0,,0.25
ActorCritic,"[512, 256, 128]",31363,,240504389,23,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S0,,0.9209734201431274,,0.9840020537376404,,3.3749998692655936e-05,0.1075436919927597,0.4372570514678955,0.1388184279203415,1000.0,170.08277893066406,1.0,,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_4400.pt,4400,model_.*.pt,.*,50000,16384,,True,False,5,gait_commands|base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,False,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,42,0.2,,,0.5,1.0,,0.25
ActorCritic,"[512, 256, 128]",40222,,334615202,32,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S0,,0.940698504447937,,0.983454704284668,,3.3749998692655936e-05,0.0973740667104721,0.40335768461227417,0.13121357560157776,993.6300048828125,191.2429656982422,1.0,,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_6200.pt,6200,model_.*.pt,.*,50000,16384,0.2,True,False,5,gait_commands|base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,False,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,42,0.2,,,0.5,1.0,0.2,0.25
ActorCritic,"[512, 256, 128]",92599,-0.02,2516523741,251,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S1,,,2.2256447263717955e-19,1.9968700408935547,,1.4999999621068127e-05,0.03329883888363838,0.10048192739486694,0.082495778799057,1000.0,136.7548828125,,1.25,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless/model_92599.pt,92599,model_42600.pt,s0_init_42600,50000,4096,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,True,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,42,0.2,,,0.5,2.0,,0.25
ActorCritic,"[512, 256, 128]",1,-0.02,10025023,1,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S1,,,4.841833053125957e-21,0.00957782007753849,,9.999999747378752e-06,0.0031884144991636276,0.02890731394290924,0.9996616840362549,14.0,0.1328319013118744,,1.25,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-05-30_17-24-12_holdbox/model_0.pt,0,model_.*.pt,.*,1,1,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,False,2026-05-30_17-24-12_holdbox,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-05-30_17-24-12_holdbox,42,0.2,,,0.5,2.0,,0.25
ActorCritic,"[512, 256, 128]",153336,-0.2,330854269,33,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S1,,,12.409893035888672,1.9842017889022827,,1.4999999621068127e-05,0.10140404105186462,0.22949394583702087,0.1007707491517067,1000.0,381.1302795410156,,12.5,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k/model_32000.pt,32000,model_.*.pt,.*,50000,16384,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,False,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,42,0.2,,,0.5,2.0,,0.25
ActorCritic,"[512, 256, 128]",47599,-0.2,60155946,6,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S1,,,12.375144958496094,1.967718482017517,,9.999999747378752e-06,0.10466527193784714,0.27404892444610596,0.15628750622272491,1000.0,378.54595947265625,,12.5,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k/model_47599.pt,47599,model_42600.pt,fromS0_2026-05-15_model_42600,5000,16384,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,True,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,42,0.2,,,0.5,2.0,,0.25
ActorCritic,"[512, 256, 128]",97598,-0.2,60155946,6,"[0.0, 0.0]","[0.0, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S1,,,12.320528030395508,1.6413285732269287,,1.4999999621068127e-05,0.40080076456069946,0.42889365553855896,0.27675336599349976,1000.0,363.76300048828125,,12.5,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k/model_97598.pt,97598,model_92599.pt,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,5000,16384,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,True,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,42,0.2,,,0.5,2.0,,0.25
ActorCritic,"[512, 256, 128]",96555,-0.2,40103964,4,"[0.0, 0.0]","[0.25, 0.4]","[0.0, 0.0]","[512, 256, 128]",1,coopG1S1,,,7.815268516540527,9.968116760253906,,9.999999747378752e-06,0.04783516749739647,0.14033158123493195,0.07775435596704483,1000.0,427.0405578613281,,8.0,True,True,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k/model_96000.pt,96000,model_92599.pt,2026-05-30_17-41-21_s1_fromS0_42600,5000,16384,,True,False,5,base_ang_vel|projected_gravity|velocity_commands|joint_pos|joint_vel|actions,True,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S1/2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,42,0.2,,,0.5,10.0,,0.25
