step,tag,value,wall_time
0,Metrics/base_velocity/error_vel_xy,0.005794895347207785,1778853630.6408381
43,Metrics/base_velocity/error_vel_xy,0.025151964277029037,1778853770.4094357
86,Metrics/base_velocity/error_vel_xy,0.07561448216438293,1778853907.2096202
129,Metrics/base_velocity/error_vel_xy,0.4739462733268738,1778854044.0061462
172,Metrics/base_velocity/error_vel_xy,0.40583524107933044,1778854180.7280858
215,Metrics/base_velocity/error_vel_xy,0.35921329259872437,1778854318.5363467
258,Metrics/base_velocity/error_vel_xy,0.32054686546325684,1778854454.4766238
301,Metrics/base_velocity/error_vel_xy,0.2707487940788269,1778854590.51264
344,Metrics/base_velocity/error_vel_xy,0.21980339288711548,1778854727.0218143
387,Metrics/base_velocity/error_vel_xy,0.17977496981620789,1778854862.6392736
430,Metrics/base_velocity/error_vel_xy,0.15152998268604279,1778854998.308206
473,Metrics/base_velocity/error_vel_xy,0.13297390937805176,1778855132.6629422
516,Metrics/base_velocity/error_vel_xy,0.12658631801605225,1778855267.3827467
559,Metrics/base_velocity/error_vel_xy,0.12001447379589081,1778855401.6003401
602,Metrics/base_velocity/error_vel_xy,0.11785735934972763,1778855535.7168922
645,Metrics/base_velocity/error_vel_xy,0.11225837469100952,1778855667.9492455
688,Metrics/base_velocity/error_vel_xy,0.11220231652259827,1778855800.6265123
731,Metrics/base_velocity/error_vel_xy,0.11147692799568176,1778855935.6439097
774,Metrics/base_velocity/error_vel_xy,0.10985469818115234,1778856070.2403624
817,Metrics/base_velocity/error_vel_xy,0.10570017993450165,1778856205.2774503
860,Metrics/base_velocity/error_vel_xy,0.10453614592552185,1778856340.870303
903,Metrics/base_velocity/error_vel_xy,0.10223807394504547,1778856476.1702693
946,Metrics/base_velocity/error_vel_xy,0.10005880892276764,1778856611.2098753
989,Metrics/base_velocity/error_vel_xy,0.0986732691526413,1778856744.4217374
1032,Metrics/base_velocity/error_vel_xy,0.09812144935131073,1778856871.0741389
1075,Metrics/base_velocity/error_vel_xy,0.09987317025661469,1778856999.4827025
1118,Metrics/base_velocity/error_vel_xy,0.0947907418012619,1778857127.7693133
1161,Metrics/base_velocity/error_vel_xy,0.103415846824646,1778857256.1757216
1204,Metrics/base_velocity/error_vel_xy,0.103523388504982,1778857383.8197825
1247,Metrics/base_velocity/error_vel_xy,0.10243134945631027,1778857512.7308626
1290,Metrics/base_velocity/error_vel_xy,0.0976821631193161,1778857641.6358502
1333,Metrics/base_velocity/error_vel_xy,0.09333078563213348,1778857769.7612102
1376,Metrics/base_velocity/error_vel_xy,0.09204964339733124,1778857898.2783492
1419,Metrics/base_velocity/error_vel_xy,0.09150481224060059,1778858026.3957863
1462,Metrics/base_velocity/error_vel_xy,0.09242700040340424,1778858153.2534122
1505,Metrics/base_velocity/error_vel_xy,0.09062071889638901,1778858281.1267009
1548,Metrics/base_velocity/error_vel_xy,0.08901411294937134,1778858408.946252
1591,Metrics/base_velocity/error_vel_xy,0.08924417942762375,1778858535.925148
1634,Metrics/base_velocity/error_vel_xy,0.09054582566022873,1778858663.6127043
1677,Metrics/base_velocity/error_vel_xy,0.08933775126934052,1778858790.4992821
1720,Metrics/base_velocity/error_vel_xy,0.08827118575572968,1778858918.3472884
1763,Metrics/base_velocity/error_vel_xy,0.08570617437362671,1778859045.6591706
1806,Metrics/base_velocity/error_vel_xy,0.0849495530128479,1778859173.518123
1849,Metrics/base_velocity/error_vel_xy,0.08837831020355225,1778859301.5547895
1892,Metrics/base_velocity/error_vel_xy,0.08911992609500885,1778859429.0853999
1935,Metrics/base_velocity/error_vel_xy,0.08679511398077011,1778859557.412939
1978,Metrics/base_velocity/error_vel_xy,0.08419464528560638,1778859684.7734263
2021,Metrics/base_velocity/error_vel_xy,0.08374832570552826,1778859812.7443342
2064,Metrics/base_velocity/error_vel_xy,0.08236560225486755,1778859941.1208863
2107,Metrics/base_velocity/error_vel_xy,0.08118098229169846,1778860068.6344364
2150,Metrics/base_velocity/error_vel_xy,0.08418493717908859,1778860195.6775434
2193,Metrics/base_velocity/error_vel_xy,0.08086847513914108,1778860323.7378063
2236,Metrics/base_velocity/error_vel_xy,0.08502396941184998,1778860452.0340114
2279,Metrics/base_velocity/error_vel_xy,0.08347343653440475,1778860580.0945435
2322,Metrics/base_velocity/error_vel_xy,0.08404340595006943,1778860707.1933274
2365,Metrics/base_velocity/error_vel_xy,0.08127128332853317,1778860833.7680151
2408,Metrics/base_velocity/error_vel_xy,0.07697489857673645,1778860962.113927
2451,Metrics/base_velocity/error_vel_xy,0.07992149889469147,1778861089.7779853
2494,Metrics/base_velocity/error_vel_xy,0.08019314706325531,1778861216.5208995
2537,Metrics/base_velocity/error_vel_xy,0.08160722255706787,1778861344.785818
2580,Metrics/base_velocity/error_vel_xy,0.08234924077987671,1778861472.4156497
2623,Metrics/base_velocity/error_vel_xy,0.08446028083562851,1778861599.9091544
2666,Metrics/base_velocity/error_vel_xy,0.08071918785572052,1778861728.238187
2709,Metrics/base_velocity/error_vel_xy,0.08022736757993698,1778861857.1585758
2752,Metrics/base_velocity/error_vel_xy,0.08007041364908218,1778861984.434309
2795,Metrics/base_velocity/error_vel_xy,0.08546215295791626,1778862113.0716398
2838,Metrics/base_velocity/error_vel_xy,0.07926027476787567,1778862241.7053325
2881,Metrics/base_velocity/error_vel_xy,0.07894249260425568,1778862370.1110811
2924,Metrics/base_velocity/error_vel_xy,0.08421744406223297,1778862498.3072822
2967,Metrics/base_velocity/error_vel_xy,0.08439850807189941,1778862627.1556582
3010,Metrics/base_velocity/error_vel_xy,0.0871838629245758,1778862756.7162733
3053,Metrics/base_velocity/error_vel_xy,0.08855699747800827,1778862886.9009943
3096,Metrics/base_velocity/error_vel_xy,0.08544685691595078,1778863017.1778228
3139,Metrics/base_velocity/error_vel_xy,0.08403941988945007,1778863147.8930504
3182,Metrics/base_velocity/error_vel_xy,0.0843859314918518,1778863277.2639725
3225,Metrics/base_velocity/error_vel_xy,0.08448796719312668,1778863406.7895544
3268,Metrics/base_velocity/error_vel_xy,0.08916741609573364,1778863536.4506109
3311,Metrics/base_velocity/error_vel_xy,0.0876380056142807,1778863666.2450805
3354,Metrics/base_velocity/error_vel_xy,0.08613723516464233,1778863796.232001
3397,Metrics/base_velocity/error_vel_xy,0.08284392952919006,1778863925.805013
3440,Metrics/base_velocity/error_vel_xy,0.08620257675647736,1778864056.6672673
3483,Metrics/base_velocity/error_vel_xy,0.08776333928108215,1778864186.2153025
3526,Metrics/base_velocity/error_vel_xy,0.09039422124624252,1778864316.853597
3569,Metrics/base_velocity/error_vel_xy,0.08813990652561188,1778864446.0400193
3612,Metrics/base_velocity/error_vel_xy,0.08028664439916611,1778864576.3822687
3655,Metrics/base_velocity/error_vel_xy,0.08864225447177887,1778864705.9542334
3698,Metrics/base_velocity/error_vel_xy,0.0838896632194519,1778864836.599272
3741,Metrics/base_velocity/error_vel_xy,0.08641630411148071,1778864966.7316425
3784,Metrics/base_velocity/error_vel_xy,0.08715405315160751,1778865096.722694
3827,Metrics/base_velocity/error_vel_xy,0.08241792768239975,1778865226.6272552
3870,Metrics/base_velocity/error_vel_xy,0.08356426656246185,1778865356.7629383
3913,Metrics/base_velocity/error_vel_xy,0.08059313893318176,1778865486.5339367
3956,Metrics/base_velocity/error_vel_xy,0.07929098606109619,1778865616.382425
3999,Metrics/base_velocity/error_vel_xy,0.08197302371263504,1778865746.4868186
4042,Metrics/base_velocity/error_vel_xy,0.08174225687980652,1778865876.6363168
4085,Metrics/base_velocity/error_vel_xy,0.08238562196493149,1778866006.3581426
4128,Metrics/base_velocity/error_vel_xy,0.08429436385631561,1778866136.17643
4171,Metrics/base_velocity/error_vel_xy,0.07986404001712799,1778866266.949132
4214,Metrics/base_velocity/error_vel_xy,0.07960392534732819,1778866397.839249
4257,Metrics/base_velocity/error_vel_xy,0.08100572228431702,1778866527.2297986
4300,Metrics/base_velocity/error_vel_xy,0.0833597406744957,1778866656.6996846
4343,Metrics/base_velocity/error_vel_xy,0.08290480077266693,1778866786.6976998
