step,tag,value,wall_time
0,Metrics/base_velocity/error_vel_xy,0.005835676100105047,1780315977.9451418
33,Metrics/base_velocity/error_vel_xy,0.036282479763031006,1780316207.949842
66,Metrics/base_velocity/error_vel_xy,0.2609190344810486,1780316411.0852354
99,Metrics/base_velocity/error_vel_xy,0.3604302406311035,1780316608.8408582
132,Metrics/base_velocity/error_vel_xy,0.24171307682991028,1780316800.659048
165,Metrics/base_velocity/error_vel_xy,0.17969653010368347,1780316969.1260223
198,Metrics/base_velocity/error_vel_xy,0.19006656110286713,1780317123.5631945
231,Metrics/base_velocity/error_vel_xy,0.374517560005188,1780317277.8076537
264,Metrics/base_velocity/error_vel_xy,0.38297343254089355,1780317413.3563118
297,Metrics/base_velocity/error_vel_xy,0.39048513770103455,1780317560.0091264
330,Metrics/base_velocity/error_vel_xy,0.3695101737976074,1780317719.5197504
363,Metrics/base_velocity/error_vel_xy,0.3139326870441437,1780317880.0423508
396,Metrics/base_velocity/error_vel_xy,0.2705121636390686,1780318019.1271837
429,Metrics/base_velocity/error_vel_xy,0.23971551656723022,1780318155.4557922
462,Metrics/base_velocity/error_vel_xy,0.21350598335266113,1780318312.7372568
495,Metrics/base_velocity/error_vel_xy,0.20000283420085907,1780318471.6255424
528,Metrics/base_velocity/error_vel_xy,0.19146054983139038,1780318629.4651346
561,Metrics/base_velocity/error_vel_xy,0.18190467357635498,1780318788.3280437
594,Metrics/base_velocity/error_vel_xy,0.18504559993743896,1780318933.3584552
627,Metrics/base_velocity/error_vel_xy,0.1811542809009552,1780319091.037336
660,Metrics/base_velocity/error_vel_xy,0.1860998570919037,1780319249.7333515
693,Metrics/base_velocity/error_vel_xy,0.17417803406715393,1780319402.5848935
726,Metrics/base_velocity/error_vel_xy,0.17392632365226746,1780319557.7460723
759,Metrics/base_velocity/error_vel_xy,0.1741124987602234,1780319716.0284343
792,Metrics/base_velocity/error_vel_xy,0.1716904491186142,1780319875.7063105
825,Metrics/base_velocity/error_vel_xy,0.16784381866455078,1780320036.6908503
858,Metrics/base_velocity/error_vel_xy,0.16830939054489136,1780320196.062153
891,Metrics/base_velocity/error_vel_xy,0.1653817594051361,1780320356.277788
924,Metrics/base_velocity/error_vel_xy,0.16939181089401245,1780320501.0131326
957,Metrics/base_velocity/error_vel_xy,0.17115287482738495,1780320647.484175
990,Metrics/base_velocity/error_vel_xy,0.16940158605575562,1780320786.6670635
1023,Metrics/base_velocity/error_vel_xy,0.17074856162071228,1780320932.1454093
1056,Metrics/base_velocity/error_vel_xy,0.16746744513511658,1780321093.1667924
1089,Metrics/base_velocity/error_vel_xy,0.16492415964603424,1780321254.442553
1122,Metrics/base_velocity/error_vel_xy,0.1640993058681488,1780321407.0933323
1155,Metrics/base_velocity/error_vel_xy,0.1621038019657135,1780321567.7120843
1188,Metrics/base_velocity/error_vel_xy,0.16163437068462372,1780321722.2991264
1221,Metrics/base_velocity/error_vel_xy,0.16448360681533813,1780321859.7771363
1254,Metrics/base_velocity/error_vel_xy,0.16152316331863403,1780322008.5036845
1287,Metrics/base_velocity/error_vel_xy,0.16111841797828674,1780322168.8170457
1320,Metrics/base_velocity/error_vel_xy,0.15572237968444824,1780322329.2671475
1353,Metrics/base_velocity/error_vel_xy,0.1624593436717987,1780322490.0502827
1386,Metrics/base_velocity/error_vel_xy,0.16166287660598755,1780322647.6119652
1419,Metrics/base_velocity/error_vel_xy,0.16072338819503784,1780322799.8680754
1452,Metrics/base_velocity/error_vel_xy,0.16038647294044495,1780322952.661497
1485,Metrics/base_velocity/error_vel_xy,0.16558659076690674,1780323082.6696055
1518,Metrics/base_velocity/error_vel_xy,0.15749742090702057,1780323216.4743514
1551,Metrics/base_velocity/error_vel_xy,0.15784232318401337,1780323372.9529374
1584,Metrics/base_velocity/error_vel_xy,0.15566425025463104,1780323521.8550758
1617,Metrics/base_velocity/error_vel_xy,0.1596248596906662,1780323677.7523456
1650,Metrics/base_velocity/error_vel_xy,0.15531420707702637,1780323835.8871553
1683,Metrics/base_velocity/error_vel_xy,0.15489228069782257,1780323994.2755337
1716,Metrics/base_velocity/error_vel_xy,0.15269127488136292,1780324152.105648
1749,Metrics/base_velocity/error_vel_xy,0.15179599821567535,1780324310.3386338
1782,Metrics/base_velocity/error_vel_xy,0.154094859957695,1780324468.7036138
1815,Metrics/base_velocity/error_vel_xy,0.1489918977022171,1780324626.250357
1848,Metrics/base_velocity/error_vel_xy,0.15157271921634674,1780324779.6631014
1881,Metrics/base_velocity/error_vel_xy,0.14828285574913025,1780324936.978437
1914,Metrics/base_velocity/error_vel_xy,0.1467144936323166,1780325089.864223
1947,Metrics/base_velocity/error_vel_xy,0.1448907107114792,1780325246.5819674
1980,Metrics/base_velocity/error_vel_xy,0.14796112477779388,1780325402.017597
2013,Metrics/base_velocity/error_vel_xy,0.14520905911922455,1780325559.1214137
2046,Metrics/base_velocity/error_vel_xy,0.14071005582809448,1780325715.4306295
2079,Metrics/base_velocity/error_vel_xy,0.1419735997915268,1780325869.5970066
2112,Metrics/base_velocity/error_vel_xy,0.14537540078163147,1780326024.554299
2145,Metrics/base_velocity/error_vel_xy,0.1413755565881729,1780326178.8981643
2178,Metrics/base_velocity/error_vel_xy,0.13994523882865906,1780326337.0008805
2211,Metrics/base_velocity/error_vel_xy,0.13697536289691925,1780326490.927161
2244,Metrics/base_velocity/error_vel_xy,0.1369417905807495,1780326646.6398532
2277,Metrics/base_velocity/error_vel_xy,0.13091766834259033,1780326803.6820524
2310,Metrics/base_velocity/error_vel_xy,0.13287638127803802,1780326959.1182704
