step,tag,value,wall_time
0,Metrics/base_velocity/error_vel_xy,0.005678578279912472,1781007856.2570179
7,Metrics/base_velocity/error_vel_xy,0.04843968152999878,1781007908.7722054
14,Metrics/base_velocity/error_vel_xy,0.06526486575603485,1781007960.6820247
21,Metrics/base_velocity/error_vel_xy,0.07412154972553253,1781008011.3651812
28,Metrics/base_velocity/error_vel_xy,0.08412107080221176,1781008061.8029482
35,Metrics/base_velocity/error_vel_xy,0.09570819139480591,1781008112.392236
42,Metrics/base_velocity/error_vel_xy,0.14308911561965942,1781008162.267694
49,Metrics/base_velocity/error_vel_xy,0.19773870706558228,1781008211.8366046
56,Metrics/base_velocity/error_vel_xy,0.26803937554359436,1781008258.2576985
63,Metrics/base_velocity/error_vel_xy,0.3376234471797943,1781008296.9317825
70,Metrics/base_velocity/error_vel_xy,0.4739697575569153,1781008344.58458
77,Metrics/base_velocity/error_vel_xy,0.5076438188552856,1781008393.9080188
84,Metrics/base_velocity/error_vel_xy,0.49144047498703003,1781008442.5297482
91,Metrics/base_velocity/error_vel_xy,0.4319044053554535,1781008491.2989347
98,Metrics/base_velocity/error_vel_xy,0.40557432174682617,1781008539.494681
105,Metrics/base_velocity/error_vel_xy,0.4004192352294922,1781008587.5304782
112,Metrics/base_velocity/error_vel_xy,0.45589303970336914,1781008635.1948779
119,Metrics/base_velocity/error_vel_xy,0.4499508738517761,1781008683.7990563
126,Metrics/base_velocity/error_vel_xy,0.4283409118652344,1781008732.0660715
133,Metrics/base_velocity/error_vel_xy,0.4057038426399231,1781008780.8033328
140,Metrics/base_velocity/error_vel_xy,0.3628106117248535,1781008828.00062
147,Metrics/base_velocity/error_vel_xy,0.34296971559524536,1781008869.763066
154,Metrics/base_velocity/error_vel_xy,0.3462388515472412,1781008906.2392578
161,Metrics/base_velocity/error_vel_xy,0.3249977231025696,1781008950.8163905
168,Metrics/base_velocity/error_vel_xy,0.30658477544784546,1781008992.8027353
175,Metrics/base_velocity/error_vel_xy,0.2975775897502899,1781009031.3271961
182,Metrics/base_velocity/error_vel_xy,0.2829738259315491,1781009068.8924067
189,Metrics/base_velocity/error_vel_xy,0.28843259811401367,1781009113.5300672
196,Metrics/base_velocity/error_vel_xy,0.2705850303173065,1781009159.370483
203,Metrics/base_velocity/error_vel_xy,0.2608569860458374,1781009207.3946922
210,Metrics/base_velocity/error_vel_xy,0.25695279240608215,1781009255.773767
217,Metrics/base_velocity/error_vel_xy,0.24989883601665497,1781009303.8751717
224,Metrics/base_velocity/error_vel_xy,0.24381336569786072,1781009351.5643315
231,Metrics/base_velocity/error_vel_xy,0.23356038331985474,1781009399.0840046
238,Metrics/base_velocity/error_vel_xy,0.2362363040447235,1781009446.4536505
245,Metrics/base_velocity/error_vel_xy,0.23287701606750488,1781009494.161433
252,Metrics/base_velocity/error_vel_xy,0.22946685552597046,1781009541.7642615
259,Metrics/base_velocity/error_vel_xy,0.22396180033683777,1781009589.6048024
266,Metrics/base_velocity/error_vel_xy,0.22712312638759613,1781009637.7881773
273,Metrics/base_velocity/error_vel_xy,0.21658802032470703,1781009677.659081
280,Metrics/base_velocity/error_vel_xy,0.21756088733673096,1781009718.2991395
287,Metrics/base_velocity/error_vel_xy,0.21709594130516052,1781009766.343237
294,Metrics/base_velocity/error_vel_xy,0.21327486634254456,1781009814.1049604
301,Metrics/base_velocity/error_vel_xy,0.21286728978157043,1781009862.385166
308,Metrics/base_velocity/error_vel_xy,0.2029237002134323,1781009909.1808107
315,Metrics/base_velocity/error_vel_xy,0.20831000804901123,1781009956.0381293
322,Metrics/base_velocity/error_vel_xy,0.20981034636497498,1781010003.3284724
329,Metrics/base_velocity/error_vel_xy,0.20701763033866882,1781010050.208638
336,Metrics/base_velocity/error_vel_xy,0.2071278691291809,1781010097.0674832
343,Metrics/base_velocity/error_vel_xy,0.20755407214164734,1781010141.0025709
350,Metrics/base_velocity/error_vel_xy,0.2061062455177307,1781010178.1001594
357,Metrics/base_velocity/error_vel_xy,0.20781493186950684,1781010225.187099
364,Metrics/base_velocity/error_vel_xy,0.20037174224853516,1781010272.0180135
371,Metrics/base_velocity/error_vel_xy,0.20050792396068573,1781010318.8443406
378,Metrics/base_velocity/error_vel_xy,0.1967519223690033,1781010365.922645
385,Metrics/base_velocity/error_vel_xy,0.19553649425506592,1781010413.1758697
392,Metrics/base_velocity/error_vel_xy,0.1971629559993744,1781010450.4085934
399,Metrics/base_velocity/error_vel_xy,0.19781510531902313,1781010488.5000339
406,Metrics/base_velocity/error_vel_xy,0.19320355355739594,1781010535.0079253
413,Metrics/base_velocity/error_vel_xy,0.18834611773490906,1781010581.3586843
420,Metrics/base_velocity/error_vel_xy,0.18885231018066406,1781010627.7554233
427,Metrics/base_velocity/error_vel_xy,0.18403249979019165,1781010674.7938166
434,Metrics/base_velocity/error_vel_xy,0.1919460892677307,1781010721.7533777
441,Metrics/base_velocity/error_vel_xy,0.1896873414516449,1781010760.7425566
448,Metrics/base_velocity/error_vel_xy,0.18651175498962402,1781010801.375809
455,Metrics/base_velocity/error_vel_xy,0.18656723201274872,1781010848.0350816
462,Metrics/base_velocity/error_vel_xy,0.18762311339378357,1781010894.8969765
469,Metrics/base_velocity/error_vel_xy,0.18668000400066376,1781010941.8509228
476,Metrics/base_velocity/error_vel_xy,0.18579816818237305,1781010988.7634609
483,Metrics/base_velocity/error_vel_xy,0.1887112259864807,1781011034.9750054
490,Metrics/base_velocity/error_vel_xy,0.18851535022258759,1781011081.5309224
497,Metrics/base_velocity/error_vel_xy,0.18503688275814056,1781011128.3213937
504,Metrics/base_velocity/error_vel_xy,0.18215322494506836,1781011174.6792676
511,Metrics/base_velocity/error_vel_xy,0.18415382504463196,1781011221.0346909
518,Metrics/base_velocity/error_vel_xy,0.18348442018032074,1781011267.2465932
525,Metrics/base_velocity/error_vel_xy,0.1859888732433319,1781011313.6944268
532,Metrics/base_velocity/error_vel_xy,0.18036769330501556,1781011359.9991624
539,Metrics/base_velocity/error_vel_xy,0.17731092870235443,1781011406.809228
546,Metrics/base_velocity/error_vel_xy,0.1774974763393402,1781011452.8394685
553,Metrics/base_velocity/error_vel_xy,0.17487186193466187,1781011499.0182502
560,Metrics/base_velocity/error_vel_xy,0.1707049012184143,1781011545.0832453
567,Metrics/base_velocity/error_vel_xy,0.17765752971172333,1781011591.2191443
574,Metrics/base_velocity/error_vel_xy,0.1741664707660675,1781011637.7803504
581,Metrics/base_velocity/error_vel_xy,0.17677977681159973,1781011684.237424
588,Metrics/base_velocity/error_vel_xy,0.17557311058044434,1781011730.513252
595,Metrics/base_velocity/error_vel_xy,0.18133215606212616,1781011777.022519
602,Metrics/base_velocity/error_vel_xy,0.17483294010162354,1781011823.4458606
609,Metrics/base_velocity/error_vel_xy,0.1766933649778366,1781011870.1691
616,Metrics/base_velocity/error_vel_xy,0.17589007318019867,1781011917.004531
623,Metrics/base_velocity/error_vel_xy,0.17639514803886414,1781011963.613316
630,Metrics/base_velocity/error_vel_xy,0.17579641938209534,1781012009.9828033
637,Metrics/base_velocity/error_vel_xy,0.1699344366788864,1781012051.4755795
644,Metrics/base_velocity/error_vel_xy,0.1716061532497406,1781012094.2343724
651,Metrics/base_velocity/error_vel_xy,0.17554539442062378,1781012140.4873483
658,Metrics/base_velocity/error_vel_xy,0.1747538447380066,1781012187.45591
665,Metrics/base_velocity/error_vel_xy,0.17387346923351288,1781012233.9494061
672,Metrics/base_velocity/error_vel_xy,0.1733994483947754,1781012275.3630407
679,Metrics/base_velocity/error_vel_xy,0.16800248622894287,1781012321.6071808
686,Metrics/base_velocity/error_vel_xy,0.17176096141338348,1781012367.9185877
693,Metrics/base_velocity/error_vel_xy,0.17065858840942383,1781012414.3855665
700,Metrics/base_velocity/error_vel_xy,0.17082878947257996,1781012460.5103755
707,Metrics/base_velocity/error_vel_xy,0.16865617036819458,1781012507.0798678
714,Metrics/base_velocity/error_vel_xy,0.16779765486717224,1781012553.124122
721,Metrics/base_velocity/error_vel_xy,0.16832880675792694,1781012599.5491614
728,Metrics/base_velocity/error_vel_xy,0.17114143073558807,1781012646.0221043
735,Metrics/base_velocity/error_vel_xy,0.17231908440589905,1781012691.96751
742,Metrics/base_velocity/error_vel_xy,0.17000184953212738,1781012738.282157
749,Metrics/base_velocity/error_vel_xy,0.17061643302440643,1781012784.4426627
756,Metrics/base_velocity/error_vel_xy,0.16828767955303192,1781012829.25781
763,Metrics/base_velocity/error_vel_xy,0.17433610558509827,1781012875.309205
770,Metrics/base_velocity/error_vel_xy,0.17647820711135864,1781012921.224922
777,Metrics/base_velocity/error_vel_xy,0.17334704101085663,1781012961.06296
784,Metrics/base_velocity/error_vel_xy,0.17207929491996765,1781013007.7520835
791,Metrics/base_velocity/error_vel_xy,0.17048311233520508,1781013054.3424067
798,Metrics/base_velocity/error_vel_xy,0.17030298709869385,1781013100.5214257
805,Metrics/base_velocity/error_vel_xy,0.16877727210521698,1781013146.9256794
812,Metrics/base_velocity/error_vel_xy,0.16651348769664764,1781013184.1108234
819,Metrics/base_velocity/error_vel_xy,0.17186538875102997,1781013228.0956082
826,Metrics/base_velocity/error_vel_xy,0.17227797210216522,1781013271.2800643
833,Metrics/base_velocity/error_vel_xy,0.17202338576316833,1781013317.7180104
840,Metrics/base_velocity/error_vel_xy,0.17231938242912292,1781013363.7892041
847,Metrics/base_velocity/error_vel_xy,0.1715722531080246,1781013409.576639
854,Metrics/base_velocity/error_vel_xy,0.17516307532787323,1781013446.4939258
861,Metrics/base_velocity/error_vel_xy,0.1718687266111374,1781013486.1213095
868,Metrics/base_velocity/error_vel_xy,0.17611239850521088,1781013523.2343304
875,Metrics/base_velocity/error_vel_xy,0.17359450459480286,1781013563.7037318
882,Metrics/base_velocity/error_vel_xy,0.17636463046073914,1781013607.127399
889,Metrics/base_velocity/error_vel_xy,0.1769905686378479,1781013652.907147
896,Metrics/base_velocity/error_vel_xy,0.17076492309570312,1781013699.3054667
903,Metrics/base_velocity/error_vel_xy,0.17482754588127136,1781013744.3067465
910,Metrics/base_velocity/error_vel_xy,0.17346957325935364,1781013782.3169749
917,Metrics/base_velocity/error_vel_xy,0.1724444329738617,1781013823.2390385
924,Metrics/base_velocity/error_vel_xy,0.17198507487773895,1781013869.4377615
931,Metrics/base_velocity/error_vel_xy,0.16650241613388062,1781013916.0906777
938,Metrics/base_velocity/error_vel_xy,0.17196354269981384,1781013962.7313142
945,Metrics/base_velocity/error_vel_xy,0.1727612465620041,1781014009.0244071
952,Metrics/base_velocity/error_vel_xy,0.16843783855438232,1781014055.4473963
959,Metrics/base_velocity/error_vel_xy,0.1677631139755249,1781014102.2137563
966,Metrics/base_velocity/error_vel_xy,0.1656983494758606,1781014148.3751798
973,Metrics/base_velocity/error_vel_xy,0.17005178332328796,1781014194.6385736
980,Metrics/base_velocity/error_vel_xy,0.17025569081306458,1781014240.801377
987,Metrics/base_velocity/error_vel_xy,0.17022475600242615,1781014287.2528965
994,Metrics/base_velocity/error_vel_xy,0.16766738891601562,1781014333.3622518
1001,Metrics/base_velocity/error_vel_xy,0.16611507534980774,1781014379.442448
1008,Metrics/base_velocity/error_vel_xy,0.17022016644477844,1781014425.4978023
1015,Metrics/base_velocity/error_vel_xy,0.16415885090827942,1781014471.4809341
1022,Metrics/base_velocity/error_vel_xy,0.16961511969566345,1781014517.335271
1029,Metrics/base_velocity/error_vel_xy,0.16817663609981537,1781014563.434627
1036,Metrics/base_velocity/error_vel_xy,0.16426309943199158,1781014609.4489422
1043,Metrics/base_velocity/error_vel_xy,0.16275423765182495,1781014655.4004982
1050,Metrics/base_velocity/error_vel_xy,0.16469579935073853,1781014701.3035986
1057,Metrics/base_velocity/error_vel_xy,0.16912755370140076,1781014747.710395
1064,Metrics/base_velocity/error_vel_xy,0.16317623853683472,1781014793.7376812
1071,Metrics/base_velocity/error_vel_xy,0.16320645809173584,1781014840.1586573
1078,Metrics/base_velocity/error_vel_xy,0.16302625834941864,1781014886.442987
1085,Metrics/base_velocity/error_vel_xy,0.16017021238803864,1781014932.7988882
1092,Metrics/base_velocity/error_vel_xy,0.1619006246328354,1781014979.0073507
1099,Metrics/base_velocity/error_vel_xy,0.16190554201602936,1781015024.7927694
1106,Metrics/base_velocity/error_vel_xy,0.156272754073143,1781015065.4234228
1113,Metrics/base_velocity/error_vel_xy,0.15689261257648468,1781015108.0070229
1120,Metrics/base_velocity/error_vel_xy,0.15614788234233856,1781015154.753964
1127,Metrics/base_velocity/error_vel_xy,0.15674030780792236,1781015201.6157434
1134,Metrics/base_velocity/error_vel_xy,0.15499626100063324,1781015248.1345763
1141,Metrics/base_velocity/error_vel_xy,0.1578630656003952,1781015294.0768785
1148,Metrics/base_velocity/error_vel_xy,0.15567100048065186,1781015339.9720268
1155,Metrics/base_velocity/error_vel_xy,0.15446573495864868,1781015386.5424376
1162,Metrics/base_velocity/error_vel_xy,0.15408103168010712,1781015433.041917
1169,Metrics/base_velocity/error_vel_xy,0.15324772894382477,1781015479.8886344
1176,Metrics/base_velocity/error_vel_xy,0.1553192138671875,1781015526.1710236
1183,Metrics/base_velocity/error_vel_xy,0.1606280654668808,1781015572.160884
1190,Metrics/base_velocity/error_vel_xy,0.15571099519729614,1781015618.2996764
1197,Metrics/base_velocity/error_vel_xy,0.15529018640518188,1781015664.5251272
1204,Metrics/base_velocity/error_vel_xy,0.1547187864780426,1781015710.3986957
1211,Metrics/base_velocity/error_vel_xy,0.15463581681251526,1781015756.5397635
1218,Metrics/base_velocity/error_vel_xy,0.15639394521713257,1781015802.3104002
1225,Metrics/base_velocity/error_vel_xy,0.15401506423950195,1781015848.3064837
1232,Metrics/base_velocity/error_vel_xy,0.1595580279827118,1781015894.0299604
1239,Metrics/base_velocity/error_vel_xy,0.1573983132839203,1781015940.5482278
1246,Metrics/base_velocity/error_vel_xy,0.1541934609413147,1781015986.7132094
1253,Metrics/base_velocity/error_vel_xy,0.15461137890815735,1781016032.930997
