step,tag,value,wall_time
0,Metrics/base_velocity/error_vel_xy,0.007429310120642185,1781980056.5924544
10,Metrics/base_velocity/error_vel_xy,0.03814734145998955,1781980119.6966326
20,Metrics/base_velocity/error_vel_xy,0.03875584900379181,1781980184.0785954
30,Metrics/base_velocity/error_vel_xy,0.05367732048034668,1781980246.7230055
40,Metrics/base_velocity/error_vel_xy,0.13191473484039307,1781980306.8482113
50,Metrics/base_velocity/error_vel_xy,0.23364493250846863,1781980369.7839644
60,Metrics/base_velocity/error_vel_xy,0.36123621463775635,1781980431.6478064
70,Metrics/base_velocity/error_vel_xy,0.5395186543464661,1781980492.4985847
80,Metrics/base_velocity/error_vel_xy,0.48501381278038025,1781980549.3807304
90,Metrics/base_velocity/error_vel_xy,0.32757624983787537,1781980603.9537632
100,Metrics/base_velocity/error_vel_xy,0.35899728536605835,1781980654.4769156
110,Metrics/base_velocity/error_vel_xy,0.40793299674987793,1781980696.596934
120,Metrics/base_velocity/error_vel_xy,0.36206281185150146,1781980739.0343134
130,Metrics/base_velocity/error_vel_xy,0.3260191082954407,1781980780.9803762
140,Metrics/base_velocity/error_vel_xy,0.28787562251091003,1781980824.9660764
150,Metrics/base_velocity/error_vel_xy,0.2909795045852661,1781980869.227672
160,Metrics/base_velocity/error_vel_xy,0.2723519504070282,1781980913.8185592
170,Metrics/base_velocity/error_vel_xy,0.2565956711769104,1781980958.032032
180,Metrics/base_velocity/error_vel_xy,0.24131058156490326,1781981006.410215
190,Metrics/base_velocity/error_vel_xy,0.23146313428878784,1781981057.1335082
200,Metrics/base_velocity/error_vel_xy,0.22337137162685394,1781981101.4835613
210,Metrics/base_velocity/error_vel_xy,0.21337470412254333,1781981146.6052074
220,Metrics/base_velocity/error_vel_xy,0.1973128318786621,1781981190.6568758
230,Metrics/base_velocity/error_vel_xy,0.19171909987926483,1781981236.6800692
240,Metrics/base_velocity/error_vel_xy,0.18551737070083618,1781981288.3396409
250,Metrics/base_velocity/error_vel_xy,0.17753708362579346,1781981332.929321
260,Metrics/base_velocity/error_vel_xy,0.17151132225990295,1781981379.7992513
270,Metrics/base_velocity/error_vel_xy,0.16666632890701294,1781981424.2339137
280,Metrics/base_velocity/error_vel_xy,0.16162340342998505,1781981474.487221
290,Metrics/base_velocity/error_vel_xy,0.15659241378307343,1781981525.389766
300,Metrics/base_velocity/error_vel_xy,0.15186646580696106,1781981575.2197535
310,Metrics/base_velocity/error_vel_xy,0.15291926264762878,1781981624.730139
320,Metrics/base_velocity/error_vel_xy,0.15132927894592285,1781981674.4706495
330,Metrics/base_velocity/error_vel_xy,0.15000830590724945,1781981724.2099094
340,Metrics/base_velocity/error_vel_xy,0.14674241840839386,1781981773.7699425
350,Metrics/base_velocity/error_vel_xy,0.14507530629634857,1781981823.865099
360,Metrics/base_velocity/error_vel_xy,0.1414966881275177,1781981870.2158325
370,Metrics/base_velocity/error_vel_xy,0.13797762989997864,1781981911.8217356
380,Metrics/base_velocity/error_vel_xy,0.13390861451625824,1781981953.9455354
390,Metrics/base_velocity/error_vel_xy,0.13092969357967377,1781982004.0839775
400,Metrics/base_velocity/error_vel_xy,0.12824112176895142,1781982053.2281692
410,Metrics/base_velocity/error_vel_xy,0.12533855438232422,1781982103.1190007
420,Metrics/base_velocity/error_vel_xy,0.1229759082198143,1781982152.0587633
430,Metrics/base_velocity/error_vel_xy,0.12043599784374237,1781982200.6111782
440,Metrics/base_velocity/error_vel_xy,0.11706921458244324,1781982249.175834
450,Metrics/base_velocity/error_vel_xy,0.11545448750257492,1781982297.8339818
460,Metrics/base_velocity/error_vel_xy,0.11353768408298492,1781982339.812107
470,Metrics/base_velocity/error_vel_xy,0.11034246534109116,1781982380.818755
480,Metrics/base_velocity/error_vel_xy,0.10896830260753632,1781982429.5421371
490,Metrics/base_velocity/error_vel_xy,0.10668380558490753,1781982474.9987466
500,Metrics/base_velocity/error_vel_xy,0.1050734668970108,1781982518.7000315
510,Metrics/base_velocity/error_vel_xy,0.10487189143896103,1781982562.4328518
520,Metrics/base_velocity/error_vel_xy,0.10425098240375519,1781982610.2764583
530,Metrics/base_velocity/error_vel_xy,0.10302019119262695,1781982660.3899488
540,Metrics/base_velocity/error_vel_xy,0.10186818242073059,1781982710.6011775
550,Metrics/base_velocity/error_vel_xy,0.10040616989135742,1781982759.331966
560,Metrics/base_velocity/error_vel_xy,0.10122281312942505,1781982808.7251785
570,Metrics/base_velocity/error_vel_xy,0.10116919130086899,1781982859.375564
580,Metrics/base_velocity/error_vel_xy,0.10212197154760361,1781982909.7877297
590,Metrics/base_velocity/error_vel_xy,0.10302776098251343,1781982960.571704
600,Metrics/base_velocity/error_vel_xy,0.10245202481746674,1781983007.4254682
610,Metrics/base_velocity/error_vel_xy,0.10256575047969818,1781983055.4176805
620,Metrics/base_velocity/error_vel_xy,0.10140460729598999,1781983104.626166
630,Metrics/base_velocity/error_vel_xy,0.0999339148402214,1781983149.907958
640,Metrics/base_velocity/error_vel_xy,0.09968255460262299,1781983191.1417868
650,Metrics/base_velocity/error_vel_xy,0.09886035323143005,1781983232.1919363
660,Metrics/base_velocity/error_vel_xy,0.0985250473022461,1781983276.2240293
670,Metrics/base_velocity/error_vel_xy,0.09884534776210785,1781983325.653508
680,Metrics/base_velocity/error_vel_xy,0.09831243008375168,1781983374.54009
690,Metrics/base_velocity/error_vel_xy,0.10027419030666351,1781983423.207999
700,Metrics/base_velocity/error_vel_xy,0.09905271232128143,1781983472.0522285
710,Metrics/base_velocity/error_vel_xy,0.0984935611486435,1781983520.8751602
720,Metrics/base_velocity/error_vel_xy,0.09722383320331573,1781983570.309907
730,Metrics/base_velocity/error_vel_xy,0.09684451669454575,1781983619.3422973
