step,tag,value,wall_time
9999,Metrics/base_velocity/error_vel_xy,0.0053597092628479,1782099025.0646465
10000,Metrics/base_velocity/error_vel_xy,0.010780023410916328,1782099029.1482434
10001,Metrics/base_velocity/error_vel_xy,0.02582189068198204,1782099033.3652573
10002,Metrics/base_velocity/error_vel_xy,0.04179771989583969,1782099037.5731359
10003,Metrics/base_velocity/error_vel_xy,0.050981562584638596,1782099041.941098
10004,Metrics/base_velocity/error_vel_xy,0.05633343383669853,1782099046.218576
10005,Metrics/base_velocity/error_vel_xy,0.05219745635986328,1782099051.2051933
10006,Metrics/base_velocity/error_vel_xy,0.048581428825855255,1782099055.651173
10007,Metrics/base_velocity/error_vel_xy,0.05654224380850792,1782099060.133196
10008,Metrics/base_velocity/error_vel_xy,0.05603919178247452,1782099064.5946023
10009,Metrics/base_velocity/error_vel_xy,0.056159477680921555,1782099068.8086126
10010,Metrics/base_velocity/error_vel_xy,0.05563723295927048,1782099072.9764845
10011,Metrics/base_velocity/error_vel_xy,0.05226188898086548,1782099077.2013507
10012,Metrics/base_velocity/error_vel_xy,0.05404924601316452,1782099081.4679708
10013,Metrics/base_velocity/error_vel_xy,0.05682845041155815,1782099085.8456109
10014,Metrics/base_velocity/error_vel_xy,0.05642092972993851,1782099090.2895632
10015,Metrics/base_velocity/error_vel_xy,0.05575472116470337,1782099094.5759542
10016,Metrics/base_velocity/error_vel_xy,0.054687317460775375,1782099099.0193484
10017,Metrics/base_velocity/error_vel_xy,0.05383151024580002,1782099103.2241907
10018,Metrics/base_velocity/error_vel_xy,0.05578425154089928,1782099107.4110548
10019,Metrics/base_velocity/error_vel_xy,0.05705226957798004,1782099112.5631897
10020,Metrics/base_velocity/error_vel_xy,0.05661927908658981,1782099117.8405373
10021,Metrics/base_velocity/error_vel_xy,0.056118689477443695,1782099122.9354286
10022,Metrics/base_velocity/error_vel_xy,0.0551815927028656,1782099127.963229
10023,Metrics/base_velocity/error_vel_xy,0.055235859006643295,1782099133.1618795
10024,Metrics/base_velocity/error_vel_xy,0.05676079913973808,1782099138.1999285
10025,Metrics/base_velocity/error_vel_xy,0.05728059262037277,1782099143.3368773
10026,Metrics/base_velocity/error_vel_xy,0.057236503809690475,1782099148.3739018
10027,Metrics/base_velocity/error_vel_xy,0.05685602128505707,1782099153.3993864
10028,Metrics/base_velocity/error_vel_xy,0.05632219836115837,1782099158.616904
10029,Metrics/base_velocity/error_vel_xy,0.05669046565890312,1782099163.951637
10030,Metrics/base_velocity/error_vel_xy,0.057387202978134155,1782099169.0479975
10031,Metrics/base_velocity/error_vel_xy,0.05786312371492386,1782099174.1460588
10032,Metrics/base_velocity/error_vel_xy,0.058114103972911835,1782099179.4762774
10033,Metrics/base_velocity/error_vel_xy,0.058040767908096313,1782099184.5852296
10034,Metrics/base_velocity/error_vel_xy,0.05807125195860863,1782099189.7316766
10035,Metrics/base_velocity/error_vel_xy,0.05843991041183472,1782099194.712966
10036,Metrics/base_velocity/error_vel_xy,0.059239186346530914,1782099199.697855
10037,Metrics/base_velocity/error_vel_xy,0.05959926173090935,1782099204.7357256
10038,Metrics/base_velocity/error_vel_xy,0.06010497361421585,1782099209.764007
10039,Metrics/base_velocity/error_vel_xy,0.0606536827981472,1782099214.7291365
