t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,Fx,Fy,Fz,taux,tauy,tauz
0.0,0,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.005,0.0015,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.01,0.003,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.015,0.0045,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.02,0.006,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.025,0.0075,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.03,0.009,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.035,0.0105,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.04,0.012,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.045,0.0135,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.05,0.015,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.055,0.0165,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.06,0.018,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.065,0.0195,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.07,0.021,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.075,0.0225,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.08,0.024,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.085,0.0255,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.09,0.027,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.095,0.0285,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.1,0.03,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.105,0.0315,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.11,0.033,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.115,0.0345,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.12,0.036,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.125,0.0375,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.13,0.039,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.135,0.0405,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.14,0.042,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.145,0.0435,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.15,0.045,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
