t,left_x,left_y,left_z,left_qw,left_qx,left_qy,left_qz,left_vx,left_vy,left_vz,left_wx,left_wy,left_wz,left_Fx,left_Fy,left_Fz,left_Mx,left_My,left_Mz,right_x,right_y,right_z,right_qw,right_qx,right_qy,right_qz,right_vx,right_vy,right_vz,right_wx,right_wy,right_wz,right_Fx,right_Fy,right_Fz,right_Mx,right_My,right_Mz
0,0.09,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.59983249681154e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.09,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.80427161946131e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.005,0.091,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.59983249681154e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.091,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.80427161946131e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.01,0.092,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.59983249681154e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.092,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.80427161946131e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.015,0.093,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.59983249681154e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.093,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.80427161946131e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.02,0.094,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.59983249681154e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.094,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.80427161946131e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.025,0.095,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.58248526205178e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.095,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.78692438470155e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.03,0.096,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.59983249681154e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.096,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.80427161946131e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.035,0.097,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.58248526205178e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.097,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.78692438470155e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.04,0.098,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.59983249681154e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.098,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.80427161946131e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.045,0.099,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.63452696633108e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.099,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.83896608898085e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
